communityName,Type,BfZ,KP,all2019,ind2019,sheltInd2019,unsheltInd2019,chind2019
"Akron, Barberton/Summit County CoC",Largely Suburban CoC,,,546,425,338,87,54
Alabama Balance of State CoC,Largely Rural CoC,,,323,218,89,129,16
Alaska Balance of State CoC,Largely Rural CoC,,,796,585,416,169,152
Albany City & County CoC,Largely Suburban CoC,,,750,543,509,34,91
Albuquerque CoC,Major City CoC,x,,1524,1224,677,547,564
Alexandria CoC,Other Largely Urban CoC,,,198,124,114,10,38
Alexandria/Central Louisiana CoC,Largely Rural CoC,,,114,87,68,19,21
"Alpine, Inyo, Mono Counties CoC",Largely Rural CoC,,,214,198,9,189,79
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,,,845,663,56,607,227
Amarillo CoC,Other Largely Urban CoC,,,777,627,296,331,265
Anchorage CoC,Other Largely Urban CoC,x,,1111,799,702,97,79
Annapolis/Anne Arundel County CoC,Largely Suburban CoC,,,302,225,166,59,71
Appalachian Regional CoC,Largely Rural CoC,,,405,294,156,138,51
Arizona Balance of State CoC,Largely Rural CoC,,,2021,1575,682,893,515
Arkansas  Balance of State  CoC,Largely Rural CoC,,,811,736,232,504,169
Arlington County CoC,Other Largely Urban CoC,x,x,215,149,113,36,74
Asheville/Buncombe County CoC,Largely Suburban CoC,,,580,539,467,72,121
Athens-Clarke County CoC,Other Largely Urban CoC,,,237,161,106,55,36
Atlanta CoC,Major City CoC,x,x,3217,2718,2001,717,364
Atlantic City & County CoC,Largely Suburban CoC,,,357,328,232,96,60
"Attleboro, Taunton/Bristol County CoC",Largely Suburban CoC,,,256,72,38,34,14
Augusta-Richmond County CoC,Other Largely Urban CoC,,,384,312,167,145,33
"Aurora, Elgin/Kane County CoC",Largely Suburban CoC,,,388,335,290,45,126
Austin/Travis County CoC,Major City CoC,,,2255,1701,628,1073,587
Bakersfield/Kern County CoC,Other Largely Urban CoC,x,x,1330,1118,348,770,64
Baltimore City CoC,Major City CoC,x,x,2294,1944,1573,371,579
Baltimore County CoC,Largely Suburban CoC,,,735,438,232,206,141
Battle Creek/Calhoun County CoC,Other Largely Urban CoC,,,241,162,126,36,31
Beaver County CoC,Largely Suburban CoC,,,123,52,46,6,0
Bergen County CoC,Largely Suburban CoC,x,,271,177,173,4,11
"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",Largely Rural CoC,,,318,255,246,9,0
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,,,981,805,495,310,97
Bloomington/Central Illinois CoC,Largely Rural CoC,,,319,223,168,55,44
Boise/Ada County CoC,Other Largely Urban CoC,,,713,568,507,61,186
Boston CoC,Major City CoC,,,6242,2392,2271,121,508
"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Other Largely Urban CoC,,,771,474,378,96,56
"Bristol, Bensalem/Bucks County CoC",Largely Suburban CoC,,,359,156,135,21,30
"Bryan, College Station/Brazos Valley CoC",Other Largely Urban CoC,,,123,92,74,18,16
"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",Largely Suburban CoC,,,924,551,518,33,31
Burlington County CoC,Largely Suburban CoC,,,518,239,216,23,18
Burlington/Chittenden County CoC,Other Largely Urban CoC,x,,309,228,180,48,58
Cambridge CoC,Other Largely Urban CoC,,,555,384,326,58,209
"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",Largely Suburban CoC,,,979,781,562,219,224
"Canton, Massillon, Alliance/Stark County CoC",Largely Suburban CoC,,,273,121,104,17,4
Cape Cod Islands CoC,Largely Suburban CoC,,,371,176,138,38,60
Carroll County CoC,Largely Suburban CoC,,,144,105,88,17,41
Cattaragus County CoC,Largely Rural CoC,,,33,26,26,0,1
Cecil County CoC,Largely Suburban CoC,,,126,77,59,18,14
Central Oregon CoC,Largely Rural CoC,,,880,637,212,425,115
Central Tennessee CoC,Largely Rural CoC,,,357,266,219,47,49
Central Virginia CoC,Largely Rural CoC,x,,78,54,40,14,5
"Champaign, Urbana, Rantoul/Champaign County CoC",Other Largely Urban CoC,,,151,81,79,2,10
Chapel Hill/Orange County CoC,Other Largely Urban CoC,,,131,103,76,27,19
"Charles, Calvert, St.Mary's Counties CoC",Largely Suburban CoC,,,306,228,132,96,67
"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",Largely Suburban CoC,,,293,236,234,2,50
Charleston/Low Country CoC,Largely Suburban CoC,,,403,351,223,128,86
Charlotte-Mecklenburg CoC,Major City CoC,x,,1742,1223,1027,196,235
Charlottesville CoC,Largely Rural CoC,x,,165,143,117,26,30
Chattanooga/Southeast Tennessee CoC,Largely Rural CoC,x,,463,367,202,165,87
Chester County CoC,Largely Suburban CoC,x,,528,386,374,12,19
Chicago CoC,Major City CoC,,,5290,3318,2064,1254,914
"Chico, Paradise/Butte County CoC",Largely Rural CoC,,,1266,1067,247,820,227
Cincinnati/Hamilton County CoC,Largely Suburban CoC,,,1082,793,762,31,69
"Citrus, Hernando, Lake, Sumter Counties CoC",Largely Suburban CoC,,,677,499,184,315,68
Clackamas County CoC,Largely Suburban CoC,x,x,471,385,178,207,175
Cleveland/Cuyahoga County CoC,Largely Suburban CoC,,,1618,1228,1122,106,212
Clinton County CoC,Largely Rural CoC,,,164,131,130,1,24
Colorado BoS Fremont County,Largely Rural CoC,x,,2302,1783,1085,698,665
Colorado BoS Mesa County,Largely Rural CoC,x,,2302,1783,1085,698,665
Colorado BoS Roaring Fork,Largely Rural CoC,x,,2302,1783,1085,698,665
Columbia-Boone County/Missouri Balance of State CoC,Largely Rural CoC,x,,1362,916,603,313,226
"Columbia, Greene Counties CoC",Largely Rural CoC,,,200,97,93,4,8
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Largely Rural CoC,,,538,454,58,396,41
Columbia/Midlands CoC,Largely Suburban CoC,,,1215,980,705,275,277
Columbus-Muscogee CoC,Other Largely Urban CoC,,,278,217,165,52,20
Columbus/Franklin County CoC,Major City CoC,,,1907,1350,982,368,97
"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,,,192,136,3,133,42
Connecticut Balance of State CoC,Largely Suburban CoC,,,2262,1626,1270,356,146
Cook County CoC,Largely Suburban CoC,x,,897,573,468,105,133
Cumberland/Allegany County CoC,Largely Suburban CoC,,,145,95,58,37,13
"Dakota, Anoka, Washington, Scott, Carver Counties",Largely Suburban CoC,,,686,372,185,187,105
"Dallas City & County, Irving CoC",Major City CoC,,,4538,3513,2071,1442,515
Daly/San Mateo County CoC,Largely Suburban CoC,,,1512,1111,272,839,318
"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,,,655,521,124,397,163
"Dayton, Kettering/Montgomery County CoC",Largely Suburban CoC,,,681,545,496,49,28
"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Largely Suburban CoC,,,222,90,73,17,12
Decatur/Macon County CoC,Other Largely Urban CoC,,,169,119,108,11,25
DeKalb County CoC,Largely Suburban CoC,,,375,261,64,197,36
Delaware Statewide CoC,Largely Suburban CoC,,,921,565,489,76,119
"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Largely Suburban CoC,,,875,574,103,471,78
Des Moines/Polk County CoC,Other Largely Urban CoC,,,681,558,466,92,95
Detroit CoC,Major City CoC,x,,1965,1400,1314,86,263
District of Columbia CoC,Major City CoC,x,x,6521,3875,3267,608,1374
Duluth/St.Louis County CoC,Largely Rural CoC,,,519,315,146,169,148
DuPage County CoC,Largely Suburban CoC,,,309,187,177,10,31
Durham City & County CoC,Other Largely Urban CoC,,,361,252,175,77,64
"East St. Louis, Belleville/St. Clair County CoC",Largely Suburban CoC,,,247,107,55,52,31
Eastern Pennsylvania CoC,Largely Rural CoC,,,1843,1083,758,325,127
Eaton County CoC,Largely Suburban CoC,,,114,3,3,0,0
El Dorado County CoC,Largely Suburban CoC,,,613,536,114,422,111
El Paso City and County CoC,Major City CoC,x,,809,527,344,183,111
Elizabeth/Union County CoC,Largely Suburban CoC,,,437,240,201,39,58
"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",Largely Rural CoC,,,240,129,122,7,3
Erie City & County CoC,Largely Suburban CoC,,,356,255,249,6,34
"Eugene, Springfield/Lane County CoC",Other Largely Urban CoC,x,x,2165,1908,374,1534,783
Everett/Snohomish County CoC,Largely Suburban CoC,,,1116,779,272,507,405
